characters,pinyin,part_of_speech,english,lesson
啊,a,p,(a sentence-final particle),6
爸爸,bàbà,n,"father, dad",2
吧,ba,p,(a sentence-final particle),5
白英爱,báiyīngài,pn,(a personal name),2
百,bǎi,nu,hundred,9
百事可乐,bǎishìkělè,pn,Pepsi-Cola,5
半,bàn,nu,half; half an hour,3
办公室,bàngōngshì,n,office,6
帮,bāng,v,to help,6
杯,bēi,m,(measure word for cup and glass),5
北京,běijīng,pn,Beijing,1
本子,běnzi,n,notebook,7
笔,bǐ,n,pen,7
别,bié,adv,don't,6
别人,biérén,n,other people; another person,4
不,bù,adv,not;no,1
不错,bùcuò,adj,pretty good,4
不过,bùguò,conj,however; but,9
不好意思,bùhǎoyìsī,v,to feel embarrassed,10
不用,bùyòng,v,need not,9
餐厅,cāntīng,n,"dining room, cafeteria",8
茶,chá,n,tea,5
常常,chángcháng,adv,often,4
常老师,chánglǎoshī,pn,Teacher Chang,6
长短,chángduǎn,n,length,9
唱歌 (儿),chànggē(ér),vo,to sing (a song),4
衬衫,chènshān,n,shirt,9
城市,chéngshì,n,city,10
吃,chī,v,to eat,3
除了．.．以外,chúle ．.．以外,conj,in addition to; besides,8
出租汽车,chūzūqìchē,n,taxi,10
穿,chuān,v,to wear; to put on,9
打车,dǎchē,vo,to take a taxi,10
打电话,dǎdiànhuà,vo,to make a phone call,6
打球,dǎqiú,vo,to play ball,4
大,dà,adj,big; old,3
大哥,dàgē,n,eldest brother,2
大家,dàjiā,pr,everybody,7
大姐,dàjiě,n,eldest sister,2
大小,dàxiǎo,n,size,6
大学生,dàxuéshēng,n,college student,2
大衣,dàyī,n,overcoat,9
但是,dànshì,conj,but,6
到,dào,v,to go to; to arrive,6
德国,déguó,pn,Germany,1
德文,déwén,pn,the German language,6
的,de,p,(a possessive or descriptive particle),2
得,dé,p,(a structural particle),7
得,dé,mv,must; to have to,6
等,děng,v,to wait; to wait for,6
第,dì,prefix,(prefix for ordinal numbers),7
弟弟,dìdi,n,younger brother,2
地铁,dìtiě,n,subway,10
点,diǎn,m,"o'clock (lit. dot, point, thus “""points on the clock"")",3
点(儿),diǎn(ér),m,"a little, a bit; some",5
电脑,diànnǎo,n,computer,8
电视,diànshì,n,television,4
电影,diànyǐng,n,movie,4
电子邮件,diànziyóujiàn,n,email,10
东西,dōngxī,n,things; objects,6
懂,dǒng,v,to understand,7
节,jié,m,(measure word for class periods),6
都,dōu,adv,both; all,2
对,duì,adj,right; correct,4
对不起,duìbùqǐ,v,sorry,5
多,duō,adv,how many/much; to what extent,3
多,duō,adj,many; much,7
多少,duōshǎo,qpr,how much/many,9
俄文,éwén,pn,the Russian language,6
儿子,érzi,n,son,2
二姐,èrjiě,n,second oldest sister,2
发短信,fāduǎnxìn,vo,to send a text message; (lit.) to send a short message,10
发音,fāyīn,n,pronunciation,8
法国,fǎguó,pn,France,1
法文,fǎwén,pn,the French language,6
饭,fàn,n,meal; (cooked) rice,3
方便,fāngbiàn,adj,convenient,6
飞机,fēijī,n,airplane,10
(飞)机场,(fēi)jīchǎng,n,airport,10
